,col1,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
1,19,278683844,119.02,,4,5,5,5,3,4,4,1.9,38.7,3.63,4,45,1,PC,1,9.2789,0.006,,2,qlp,UNKNOWN,06:36:57.22,-58:00:58.15,51.497,0.042,-205.6,0.049,2375.835599999875,0.0017629000000000004,10.6917564,3.18e-05,0.12333333333333334,0.267,0.456105,0.000175,420.0,0.160976,1.72548,0.1093,42.4314,711.0,30.0,66.6187,0.1003,5332.0,184.0,4.56429,0.272717,0.82,0.05,,,0.86,0.102503,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",2019-05-17,2021-08-26,2022-12-14 12:09:24,outer candidate in potential multi
7,47,265612438,145.01,,3,4,4,3,3,4,4,14.1,46.3,58.95,10,1,3,PC,1,11.6789,0.006,,1,qlp-s28-tois,QLP,22:12:41.93,-55:58:43.69,-5.816,0.065,-4.917,0.063,2060.6423999997787,0.00377,5.13002,3e-05,0.1991666666666667,0.69,3.671647,0.002188,3376.0,2.01525,8.86428,0.524885,842.8660000000001,1501.0,22.0,438.421,8.695,5430.7,64.5,4.4,2.0,1.58,0.08,,,0.97,0.117664,"1,27,28",2018-09-05,2021-12-07,2022-12-14 12:09:24,Some confusion about whether source is this star or the close pair of equal brightness stars to the NE (260985864)- but difference image seems to indicate source is more likely to be this star.
10,54,403287048,152.01,,5,5,5,5,5,5,5,14.1,68.2,52.8,2,1,1,EB,0,11.3569,0.006,,1,sector-01-qlp-alerts,QLP,22:09:25.8,-62:20:04.03,-34.716,0.036000000000000004,-109.526,0.047,1327.923369999975,0.00494,7.00776,0.00315,0.11166666666666668,0.8240000000000001,3.988702,0.019543,3666.99,18.0,8.1288,0.6252840000000001,302.511,1161.0,16.0,376.849,4.5095,6347.0,102.6,4.23,0.45,1.22,0.04,,,1.26,0.191402,1,2018-09-05,2021-12-07,2022-12-14 12:09:24,retired as NEB
16,62,253917293,160.01,,5,5,5,5,5,5,5,17.8,71.9,48.6,2,2,3,EB,0,11.2901,0.006999999999999999,,1,sector-01-qlp-alerts,QLP,22:30:00.2,-31:55:27.68,28.377,0.077,-27.285,0.059,1327.3762699998915,0.00284,4.6080000000000005,0.001,0.14095833333333332,0.758,3.494326,0.008664,3213.22,7.98,7.9969800000000015,0.539026,724.0010000000002,1445.0,25.0,341.8540000000001,4.498,5935.0,141.5,4.29,0.65,1.28,0.06,,,1.12,0.14593599999999998,1,2018-09-05,2021-12-07,2022-12-14 12:09:24,Source is star to the WSW (253917292). Retired as NEB.
18,64,99493790,162.01,,5,5,5,5,3,5,5,55.7,84.8,317.0,2,3,7,PC,0,11.6834,0.006999999999999999,,1,qlp-toi-update-03-29-22,QLP,21:10:33.58,-23:18:20.94,50.863,0.096,-19.94,0.061,2078.3930529998615,0.0003954,7.764691,6.8e-06,0.13270833333333334,0.056,26.965206,0.002985,24530.0,2.74943,15.6068,0.8986209999999999,86.3134,849.0,36.0,274.733,5.45,5404.7,43.0,4.4,2.0,0.99,0.06,,,0.971,0.125327,"1,28",2018-09-05,2022-03-29,2022-12-14 12:09:24,previously retired as EB; now APC
19,66,79395355,164.01,,5,5,5,5,5,5,5,13.6,63.1,52.86,1,0,3,EB,0,11.407,0.006,,1,sector-01-qlp-alerts,QLP,21:20:13.03,-51:18:35.9,18.03,0.053,-14.704,0.064,1328.3373300000094,0.00377,7.318980000000002,0.00224,0.157125,0.8859999999999999,4.143792,0.011075,3809.3,10.2,8.79673,0.51237,468.718,1296.0,17.0,360.131,4.613,5926.0,79.5,4.27,2.01,1.3,0.03,,,1.15,0.154532,1,2018-09-05,2021-12-07,2022-12-14 12:09:24,Potential blend with 79395356 to NE; retired as NPC
101,220,355637190,293.01,,5,5,5,5,3,5,5,45.7,128.7,49.86,7,1,1,PC,0,11.024,0.006,,1,qlp-toi-update-03-29-22,QLP,23:52:37.09,-54:28:08.18,10.067,0.052000000000000005,-18.873,0.061,2109.9113880000077,0.0004196000000000001,0.8054361,6e-07,0.04416666666666667,0.171,3.240324,0.004024,2980.0,3.70654,8.06243,0.509925,2752.55,2017.0,98.0,336.367,4.922,5905.0,456.4,4.13,0.69,1.4,0.07,,,1.11,0.14084100000000002,"1,2,28,29",2018-12-20,2022-03-29,2022-12-14 12:09:24,V-shaped; TFOP APC: previously retired as BEB due to chromaticity; some odd-even
109,229,229111835,302.01,,3,4,3,3,3,4,4,14.5,68.2,51.26,6,0,1,PC,1,12.9317,0.006,,1,qlp,QLP,01:09:55.51,-52:14:22.15,70.771,0.02,-3.161,0.023,1356.6823700000532,0.00169,6.70145,0.00101,0.06579166666666666,0.172,11.943404,0.019304,10940.0,17.7796,8.152460000000001,0.8606459999999999,10.4754,501.0,21.0,195.124,0.5595,4130.0,128.0,4.51,0.11,0.74,0.07,,,0.65,0.08003510000000001,2,2018-12-20,2020-05-20,2022-12-14 12:09:24,
115,235,281710229,308.01,,5,5,5,5,3,5,5,,,131.13,5,0,1,PC,0,11.7628,0.006,,1,qlp-toi-update-03-29-22,QLP,00:45:56.33,-55:55:21.58,10.655,3.447,-11.213,3.447,2108.717597000301,0.0004382,8.3092965,7.000000000000002e-06,0.09170833333333334,0.116,18.627251,0.403414,17010.0,371.489,14.2736,2.39114,52.7075,750.0,99.0,,,4801.3,259.3,,,0.85,0.09,,,,,"2,28,29",2018-12-20,2022-03-29,2022-12-14 12:09:24,v-shaped; TFOP; previously retired as BEB due to chromaticity
120,240,9102327,313.01,,5,5,5,5,5,5,5,12.5,52.2,34.73,2,1,7,EB,0,11.3018,0.006,,1,qlp-s01s02,QLP,23:23:07.15,-19:25:10.74,-1.1909999999999998,0.073,5.003,0.057,1354.5433200001717,0.00351,3.2615,0.00086,0.09304166666666668,0.211,1.795424,0.003107,1652.28,2.86135,5.07097,0.314799,403.299,1248.0,16.0,304.942,3.442,5963.0,143.3,3.41,0.25,1.13,0.05,-1.3,0.18,0.929,0.11553,2,2018-12-20,2021-12-06,2022-12-14 12:09:24,target star is two stars in Gaia; TFOP FP; retired as NEB
