,col1,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
3,26,52368076,125.02,,2,5,5,5,4,4,2,4.0,52.2,9.04,15,6,5,CP,1,10.1985,0.006,,2,spoc-s01-s36-b0A-CPKP,SPOC,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,1334.4464330002666,0.0016598101,9.15466210597647,4.3547956e-05,0.12806991606637916,0.21111020000000005,1.049855,0.057579,966.485069273326,53.030373,2.952309815677089,0.30252436,73.3501017210813,746.397076482901,14.45497,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.852266013622284,0.0497186,,,0.91,0.110203,"1,2,28",2018-10-19,2021-12-09,2022-12-14 12:09:24,TOI-125 c / TOI-125.02
4,27,52368076,125.03,,1,5,5,5,4,4,1,1.9,38.9,8.65,15,6,5,CP,1,10.1985,0.006,,3,spoc-s01-s36-b0A-CPKP,SPOC,01:34:22.42,-66:40:34.86,-119.8,0.066,-122.953,0.08,1342.8507570000365,0.0024966004,19.981250898902896,0.000113433714,0.12759660042540832,0.32725707,1.077791,0.083534,992.1894338328348,76.93508,2.87617041435472,0.5839863000000001,25.907584025707106,575.408772086897,9.00047,111.059,0.442,5154.0,182.0,4.47072,0.28501,0.852266013622284,0.0497186,,,0.91,0.110203,"1,2,28",2018-10-19,2021-12-09,2022-12-14 12:09:24,period is likely correct but possibly two independent single transits
6,42,140068425,140.01,,3,5,5,3,4,4,4,57.3,129.5,108.61,10,1,6,PC,0,9.7828,0.006,,1,spoc,SPOC,22:01:12.43,-49:03:36.28,32.489000000000004,0.077,-15.438,0.075,2061.9919879999943,0.0018030562,2.2812641966740896,0.000309919,0.04834138597081708,0.15420127,1.223947,0.15391,1126.66194875397,141.74628,12.738719430269999,22.251356,5760.97209843584,2221.99814750314,9.151047,337.105,5.7035,6174.0,194.0,4.27404,2.00568,2.35511,0.11186,,,1.2,0.177569,"1,28",2018-09-05,2020-10-27,2022-12-14 12:09:24,very likely EB; events synchronized with modulations; potential secondary at 0.5 phase
24,73,309257814,171.01,,3,5,5,3,3,4,4,131.6,233.5,120.61,22,2,3,PC,1,11.6626,0.006,,1,qlp-s38-tois,QLP,08:17:04.66,-63:12:48.25,-13.511,0.045,19.48,0.037000000000000005,2359.3977669999003,0.00028569999999999995,1.2386034,6e-07,0.06879166666666667,0.027000000000000003,14.537179,0.000398,13300.0,0.366555,13.5831,0.802239,757.302,1461.0,69.0,256.345,1.463,5237.0,183.0,4.2427,0.42297,1.11,0.07,,,0.88,0.109325,"1,8,9,10,11,28,31,35,36,37,38",2019-06-11,2022-10-17,2022-12-14 12:09:24,
25,74,309257814,171.02,,5,5,5,5,5,5,5,61.5,143.6,75.4,22,2,3,PC,0,11.6626,0.006,,2,spoc,SPOC,08:17:04.66,-63:12:48.25,-13.511,0.045,19.48,0.037000000000000005,2144.738743000198,0.0015336432,1.81357672556142,0.00019187533,0.03492578231055175,0.23335735,8.501737,0.869669,7799.811612192791,800.6742,10.2776167623595,2.846093,1028.13979768643,1444.21812846947,7.7045045,256.345,1.463,5237.0,183.0,4.2427,0.42297,1.10723,0.0651181,,,0.88,0.109325,"10,31",2019-06-11,2021-01-14,2022-12-14 12:09:24,Likely EB and possibly double the period
27,78,425997655,174.02,,4,5,5,5,4,4,4,0.8,43.6,3.46,17,14,3,CP,1,8.7513,0.006,,2,spoc,UNKNOWN,03:41:50.17,-62:46:02.16,-102.571,0.05,-43.917,0.059,1340.3037669998594,0.0013975578,29.797620494847397,9.466238e-05,0.12032460268425833,0.28286564,0.653276,0.036551,601.508566229395,33.66421,1.677122004116,0.9720113,7.65681359358732,424.259687883884,16.614653,39.0341,0.04005,4813.0,111.0,4.38,0.21,0.691374003887177,0.0423719,-0.19,0.08,0.78,0.0888069,"1,2,3,4,11,29,30,31,34",2019-05-17,2021-09-07,2022-12-14 12:09:24,HD 23472 c; multi
28,79,425997655,174.03,,2,5,5,2,4,4,4,1.2,6.1,1.74,17,14,3,PC,1,8.7513,0.006,,3,spoc,UNKNOWN,03:41:50.17,-62:46:02.16,-102.571,0.05,-43.917,0.059,1335.745860000141,0.0020284504,12.1622171719925,4.916313e-05,0.11427655048669083,0.27684563,0.314906,0.027326,289.997034623129,25.168226,1.17666551797215,0.9759817,25.2894770233744,571.945584680866,11.010078,39.0341,0.04005,4813.0,111.0,4.38,0.21,0.691374003887177,0.0423719,-0.19,0.08,0.78,0.0888069,"1,2,3,4,11,29,30,31,34",2019-05-17,2021-09-07,2022-12-14 12:09:24,TOI 174.03; multi
29,80,425997655,174.04,,2,5,5,2,4,4,4,1.5,11.0,0.45,17,14,3,PC,1,8.7513,0.006,,4,spoc,UNKNOWN,03:41:50.17,-62:46:02.16,-102.571,0.05,-43.917,0.059,1326.028202000074,0.0018362998,3.97666394851563,2.1937693e-05,0.08865592600870832,0.15977617,0.147199,0.015096,135.566248187729,13.903932,0.8071096515333129,0.76925755,112.270329600069,830.206250848435,9.593883,39.0341,0.04005,4813.0,111.0,4.38,0.21,0.691374003887177,0.0423719,-0.19,0.08,0.78,0.0888069,"1,2,3,4,11,29,30,31,34",2019-05-17,2021-09-07,2022-12-14 12:09:24,TOI 174.04; multi
30,81,425997655,174.05,TIC 425997655.05,1,5,5,1,4,4,4,1.1,8.1,0.74,17,14,3,PC,1,8.7513,0.006,,5,spoc,SPOC,03:41:50.17,-62:46:02.16,-102.571,0.05,-43.917,0.059,1330.8375110002235,0.0027113813,7.90767225069933,5.7179892e-05,0.12263141119718625,0.31656086,0.171012,0.02024,157.495771308736,18.641155,0.9275195132172992,0.5251598000000001,44.8978253286067,660.200845331632,7.2740426,39.0341,0.04005,4813.0,111.0,4.38,0.21,0.691374003887177,0.0423719,-0.19,0.08,0.78,0.0888069,"1,2,3,4,11,29,30,31,34",2021-10-21,2021-10-21,2022-12-14 12:09:24,near 2:1 resonance with .04; multi; two CPs and three PCs including this one
33,88,251848941,178.02,,4,5,5,5,4,4,4,2.7,66.6,12.29,23,7,6,CP,1,10.42,0.006,,2,spoc,SPOC,00:29:12.48,-30:27:14.82,149.953,0.073,-87.25299999999999,0.042,1354.5521900001913,0.004083,20.708504,0.003165,0.09318850000000001,0.274134,1.800631,0.4845060000000001,1657.067907,446.14713,3.751004,1.518233,19.4977724575681,535.939786629264,9.537692,62.699,0.20675,4111.0,171.0,4.5552800000000016,0.449348,0.701202,0.152166,,,0.68,0.0803989,2,2018-11-03,2021-10-21,2022-12-14 12:09:24,TOI-178 g / TOI 178.02; half period of TOI-178 g in report but updated to match confirmed planet period
