col1_1,TIC ID_1,TOI_1,Paper disp,Group Comments,Sector(s),Period [Days],Duration [Hours],Depth [%],Planet Radius [RJ],Star Radius [Râ],TESSmag,Delta TESSmag,col1_2,TIC ID_2,TOI_2,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
0,313761775,1526.01,PC,"FSOP, FSCP, LowSNR","15,16,17",1.5312700000000001,1.3,0.05,0.49,2.38,9.693811,8.32,1545,313761775,1526.01,,5,5,5,5,5,5,5,13.4,52.0,26.26,2,5,2,PC,FP,9.693811,0.006,,1,qlp,QLP,21:13:23.42,56:56:37.44,-29.564,0.057999999999999996,-19.113,0.05,2458716.35218,0.0038399999999999997,1.5312700000000001,1.1E-4,1.301,0.302,0.510416,0.001807,470.0,1.66395,5.5149300000000006,0.417825,978.546,1558.0,11.0,320.06,2.6215,6298.0,299.8,3.77,0.11,2.38,0.11,,,1.235,0.245621,"15,16,17",2019-12-05,2020-05-20,2022-12-14 12:09:24,Variable star; some depth-aperture correlation
1,314835525,2049.01,PC,"FSOP, pVshape, FSCP, UC, Fla",24,5.3032900000000005,3.71,0.12,1.05,3.48,10.6568,7.3,2098,314835525,2049.01,,3,4,3,3,3,4,4,15.2,31.9,94.63,0,2,1,PC,PC,10.6568,0.012,,1,qlp,QLP,23:07:38.36,56:41:40.25,19.194000000000003,0.045,-0.35600000000000004,0.037000000000000005,2458768.86655,0.00585,5.3032900000000005,2.2E-4,3.707,0.395,1.303666,0.002644,1200.0,2.43495,11.7443,0.9244379999999999,473.142,1299.0,11.0,571.487,9.0355,6054.7,145.0,3.41,0.09,3.48,0.21,0.23,0.016,1.13,0.153753,24,2020-06-19,2020-06-19,2022-12-14 12:09:24,shoulder before ingress and after egress
2,322062001,2055.01,PC,"FSCP, FSOP, Vshape",24,4.69802,2.32,0.74,2.57,1.61,10.6526,5.33,2104,322062001,2055.01,,5,5,5,5,1,5,5,202.6,494.8,317.0,3,2,0,PC,APC,10.6526,0.006,,1,qlp,QLP,21:36:57.33,69:17:02.2,-5.7,1.9,-1.7,2.0,2458767.32115,5.200000000000001E-4,4.69802,2.0E-5,2.324,0.08900000000000001,8.053385,1.688014,7390.0,1553.51,28.8625,,1332.32,,113.0,376.423,,6782.0,,,,1.61,,,,,,24,2020-06-19,2020-05-28,2022-12-14 12:09:24,V-shaped transit
3,327579226,1532.01,PC,"FSOP, pVshape, pSS, FSCP","17,18",8.90592,2.89,0.71,1.14,1.41,10.1786,5.38,1551,327579226,1532.01,,3,4,4,3,4,4,4,37.6,147.0,105.12,4,3,3,PC,PC,10.1786,0.006,,1,qlp-s57-ffi,QLP,00:18:56.7,57:12:02.26,13.935,0.04,-5.6,0.035,2459876.057508,8.648E-4,8.9054163,9.699999999999999E-6,2.762,0.401,6.883628,0.31096399999999996,6320.0,286.367,12.4762,0.594123,242.291,1099.0,69.0,259.563,2.074,6659.0,172.5,4.29,0.09,1.41,0.06,,,1.4040000000000001,0.245071,"17,18,24,57",2019-12-05,2022-12-13,2022-12-16 12:08:26,
7,339538183,1662.01,PC,"pCO, LowSNR, FSCP","18,19",2.60969,1.42,0.36,1.89,1.78,9.7053,6.12,1682,339538183,1662.01,,5,5,5,5,5,5,5,196.8,306.9,317.0,5,1,5,PC,FP,9.7053,0.006,,1,qlp,QLP,06:13:16.54,63:41:06.03,-4.99,0.961,0.594,1.224,2458818.58553,7.0E-4,2.60943,5.9999999999999995E-5,1.463,0.09,3.741371,0.9559219999999999,3440.0,880.049,21.2194,,3040.87,,74.0,294.29200000000003,,7235.0,,,,1.78,,,,,,"18,19,20",2020-01-29,2020-01-29,2022-12-14 12:09:24,large;  non-synchronized stellar activity; secondary (200ppm)
9,345143460,1533.01,PC,"FSOP, FSCP, LowSNR",17,3.6462,1.74,0.10,0.25,0.88,10.1128,7.47,1552,345143460,1533.01,,3,4,3,3,4,4,4,8.0,68.4,8.96,1,6,5,PC,PC,10.1128,0.006,,1,qlp-s57-ffi,QLP,23:40:59.21,57:29:06.87,19.799,0.045,-34.45,0.047,2459877.675475,0.0017165,3.6458044000000003,1.13E-5,1.805,0.244,1.097148,0.063408,1010.0,58.3995,2.93655,0.197499,119.869,921.0,17.0,100.051,0.2983,5053.0,119.9,4.48,0.08,0.88,0.05,,,0.843,0.10016900000000001,"17,24,57",2019-12-05,2022-12-13,2022-12-16 12:08:26,Single transit-like feature at ~1782 TBJD
10,346338552,1388.01,PC,"LCMOD, pEV, FSCP",16,4.46491,2.7,1.56,1.36,1.18,9.76031,4.52,1398,346338552,1388.01,,5,5,5,5,5,5,5,127.5,153.2,317.0,0,0,0,KP,KP,9.76031,0.006,,1,qlp-s56-ffi,QLP,22:57:46.89,38:40:29.71,32.384,0.040999999999999995,-41.751000000000005,0.044000000000000004,2459847.3365080003,2.303E-4,4.4653014,1.5E-6,2.494,0.044000000000000004,16.144910999999997,0.26996,14760.0,248.611,14.5338,0.6562819999999999,243.703,1100.0,149.0,158.97899999999998,0.971,6051.2,106.5,4.35,0.08,1.18,0.05,0.15784,0.00681689,1.126,0.150085,"16,56",2019-10-30,2022-11-15,2022-12-14 12:09:24,HAT-P-1b
22,372264750,1355.01,PC,"FSOP, FSCP, pVshape","16,17,18",2.17026,2.22,0.61,1.39,1.85,8.65269,5.54,1365,372264750,1355.01,,3,4,4,3,3,4,4,145.0,220.3,317.0,5,43,2,PC,PC,8.65269,0.006,,1,qlp-tois-update,QLP,22:05:13.83,66:46:31.07,15.593,0.049,7.409,0.055999999999999994,2458740.23682,2.2999999999999998E-4,2.17026,1.0E-5,2.221,0.11199999999999999,6.643273,4.62E-4,6100.0,0.425468,15.6224,0.58248,10584.8,2825.0,272.0,248.148,1.6655,9218.0,636.1,4.27,0.09,1.85,0.07,,,2.336,0.387125,"16,17,18,24,57",2019-10-30,2022-12-13,2022-12-14 12:09:24,
32,266500992,1655.01,PC,"LowSNR, FSOP, FSCP, UC, LCMOD","18,19",3.2776699999999996,3.07,0.11,0.33,1.15,10.3309,7.45,1674,266500992,1655.01,,1,4,1,1,4,4,4,8.5,57.9,13.06,5,2,10,PC,PC,10.3309,0.006,,1,qlp,QLP,04:04:41.34,52:15:25.17,5.89,0.071,-16.735,0.048,2458819.70953,0.00524,3.2776699999999996,0.00135,3.071,0.488,1.140622,0.002802,1050.0,2.5810000000000004,3.67705,0.28926799999999997,573.692,1363.0,13.0,165.31400000000002,0.987,5411.0,153.9,4.29,0.09,1.15,0.06,,,0.941,0.11714300000000001,"18,19",2020-01-29,2020-01-29,2022-12-14 12:09:24,Potential L1 candidate
35,269238073,1520.01,PC,"LCMOD, UC, Vshape, FSCP","17,18",6.15501,4.18,0.07,0.35,1.5,9.68805,7.9,1539,269238073,1520.01,,3,4,3,3,4,4,4,5.9,46.0,14.54,1,3,4,PC,PC,9.68805,0.006,,1,qlp,QLP,23:20:55.86,62:09:40.25,27.666,0.045,8.25,0.035,2458766.00953,0.00829,6.15501,0.00268,4.178,0.526,0.749417,0.0012929999999999999,690.0,1.19076,3.8913800000000003,0.25033299999999997,493.779,1313.0,13.0,196.55,1.0125,6153.0,155.5,4.15,0.08,1.5,0.07,,,1.169,0.16558699999999998,"17,18",2019-12-05,2020-05-20,2022-12-14 12:09:24,Slight depth-aperture correlation
