col1_1,TIC ID_1,TOI_1,Paper disp,Group Comments,Sector(s),Period [Days],Duration [Hours],Depth [%],Planet Radius [RJ],Star Radius [Râ],TESSmag,Delta TESSmag,col1_2,TIC ID_2,TOI_2,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
4,329888006,1976.01,1,"FSCP, UC, pSS, pVshape",11,7.698180000000001,8.96,0.64,0.0,0.0,8.8681,5.48,2021,329888006,1976.01,,3,5,5,3,3,4,4,78.1,318.8,66.02,3,1,1,PC,APC,8.8681,0.006,,1,qlp,QLP,14:11:23.19,-50:04:11.92,-21.2,1.5,-5.9,1.6,2459360.021406,4.662E-4,7.694309599999999,8.0E-6,8.902999999999999,0.165,8.064323,3.71E-4,7400.0,0.34158099999999997,,,925.441,1536.0,105.0,201.2072,117.809,4956.8,100.5,,,,,,,,,"11,38",2020-06-17,2021-08-12,2022-12-14 12:09:24,no information of the star on TIC 8; see observing notes re: potential chromaticity; may not be main sequence star
5,330799746,1818.01,1,"Fla, FSOP",22,5.5107800000000005,4.47,0.34,0.88,1.63,10.9901,6.16,1857,330799746,1818.01,,3,4,3,3,4,4,4,19.2,69.9,67.81,3,11,8,PC,PC,10.9901,0.006999999999999999,,1,qlp-s49-tois,QLP,12:52:31.48,34:54:03.7,23.706,0.052000000000000005,-15.102,0.044000000000000004,2459656.365708,0.0013927999999999998,5.5115037000000004,1.3500000000000001E-5,4.423,0.138,3.534389,5.26E-4,3250.0,0.48437600000000003,9.63687,0.43141199999999996,642.257,1402.0,31.0,401.96,6.7755,6236.9,103.1,4.09,0.08,1.63,0.07,-0.161623,0.00683763,1.21,0.165124,"22,49",2020-04-17,2022-07-13,2022-12-14 12:09:24,2 stars in pixel
6,332660150,938.01,1,"FSOP, FSCP, Fla",5,8.80874,4.28,0.16,0.36,0.99,10.8479,7.0,920,332660150,938.01,,3,4,3,4,4,4,4,4.7,42.9,15.62,4,5,11,PC,PC,10.8479,0.006999999999999999,,1,qlp,UNKNOWN,04:12:07.76,-12:07:07.81,-6.466,0.046,-10.769,0.040999999999999995,2459193.8049259996,0.0028951,8.8073507,4.47E-5,4.263999999999999,0.41100000000000003,1.8473220000000001,0.001166,1700.0,1.0737,4.0916,0.230702,220.735,1073.0,19.0,215.03400000000002,1.909,5981.0,125.9,4.49,0.08,0.99,0.05,,,1.1,0.146506,"5,32",2019-07-24,2021-02-01,2022-12-14 12:09:24,Co-moving M dwarf 7.7
8,341420329,1019.01,1,"pTD, FSOP","7,8,9",5.23416,3.54,2.22,2.13,1.56,10.6348,4.13,1001,341420329,1019.01,,3,4,4,3,3,4,4,131.7,297.7,317.0,3,3,1,PC,PC,10.6348,0.006,,1,spoc,UNKNOWN,08:00:35.52,-54:52:42.79,-11.732000000000001,0.047,2.5860000000000003,0.061,2459232.446777,2.1601134999999999E-4,5.23409637813213,2.6583332999999997E-5,3.6909047086778397,0.016388487,22.535781,0.077113,20542.2936714085,71.021614,24.0878820226281,0.74451643,1453.66800675036,1574.8386240930702,269.15555,399.54400000000004,4.1635,7645.0,134.4,4.3,0.08,1.5620299577713002,0.048125699999999993,,,1.79,0.289153,"7,8,9,34,35,36",2019-07-24,2021-09-29,2022-12-14 12:09:24,Large for its insolation
11,347329162,1809.01,1,"WASP-56 b,CP, pTD",22,4.617208,3.59,1.12,1.07,1.11,11.5384,4.88,1846,347329162,1809.01,,5,5,5,5,5,5,5,45.4,139.9,105.3,0,0,0,KP,KP,11.5384,0.006999999999999999,,1,qlp-s49-tois,SPOC,12:13:27.85,23:03:20.47,-36.695,0.077,2.792,0.051,2459659.915254,6.755E-4,4.6170519,5.3E-6,3.555,0.226,13.338436999999999,0.0031079999999999997,12210.0,2.8626099999999997,12.4681,0.6803130000000001,447.82,1281.0,109.0,321.084,5.314,5797.0,121.229,4.36164,0.081426,1.11,0.06,0.43,0.04,1.04,0.13252,"22,49",2020-04-15,2022-07-13,2022-12-14 12:09:24,WASP-56 b
12,347332255,1835.01,1,"AT, wrong-P",23,5.64196,3.09,0.05,0.16,0.78,7.6621,8.16,1874,347332255,1835.01,,2,4,4,2,4,4,4,7.7,118.2,3.99,2,8,5,PC,PC,7.6621,0.006,,1,spoc,SPOC,12:39:21.41,20:01:38.42,-81.959,0.083,-104.589,0.044000000000000004,2458932.7636349997,0.0022330706,5.641959835971991,0.0011469718,3.08715015408809,0.42569625,0.590626,0.079082,543.838847968583,72.83464000000001,1.82458442534573,1.2838764999999999,119.41711808317801,843.114184840056,8.795427,32.1585,0.05705,5297.0,107.552,4.61016,0.07761489999999999,0.782479,0.0380352,,,0.91,0.112429,23,2020-05-07,2020-05-08,2022-12-14 12:09:24,period may be different; the transit at TJD 1932.8 and 1938.4 appears to be similar in depth and duration; the transit at TJD 1944.0 is coincident with a momentum dump; and can't be recovered from the data. There are three more possible single events near  1937.9 1947.5 and 1949.0. The 1949.0 event (in report for candidate .02) has the largest depth.
13,349827430,1148.01,1,"FSCP,CP, pTD, pSS","14,20",5.5511099999999995,4.32,0.86,1.31,1.55,7.9179,5.16,1137,349827430,1148.01,,3,5,5,3,5,4,5,215.9,287.2,317.0,0,0,0,KP,KP,7.9179,0.006,,1,qlp-s48-tois,UNKNOWN,10:47:38.17,71:39:20.62,-56.184,0.053,-34.808,0.064,2459628.570043,7.890000000000001E-5,5.5514908,1.0E-6,4.218,0.02,10.298033,1.3000000000000001E-5,9440.0,0.011975299999999998,15.6197,0.613038,552.134,1350.0,685.0,96.5173,0.31225,6403.9,184.1,4.16,0.08,1.55,0.06,,,1.25,0.184389,"14,20,21,40,41,47,48",2019-08-27,2022-07-12,2022-12-14 12:09:24,KELT 24 b
14,350332997,832.01,1,"FSOP,FSCP",11,1.91693,1.73,0.25,0.56,1.07,11.7611,6.51,808,350332997,832.01,,5,5,5,5,5,5,5,25.1,53.5,82.55,1,3,1,PC,FP,11.7611,0.006,,1,qlp,UNKNOWN,05:36:19.59,-54:11:28.32,13.661,0.039,1.4269999999999998,0.045,2459357.0795259997,5.017E-4,1.9160221000000002,1.4E-6,1.405,0.045,2.64155,6.5E-4,2430.0,0.59901,10.8261,0.59309,339.505,1195.0,58.0,586.7040000000001,7.0895,5623.0,187.0,4.37483,2.0039,2.09,0.11,,,0.97,0.121111,"1,3,4,5,6,7,10,11,13,27,28,30,31,32,33,34,37,38",2019-06-17,2021-09-10,2022-12-14 12:09:24,possible 600 ppm secondary; TFOP FP; retired as EB
15,350743714,165.01,1,FSCP,3,7.76178,3.49,0.44,1.23,1.87,9.789,5.89,67,350743714,165.01,,5,5,5,5,3,5,5,61.3,208.0,111.03,1,3,2,KP,APC,9.6686,0.006999999999999999,,1,qlp,UNKNOWN,05:55:32.69,-57:17:26.68,2.812,0.055999999999999994,-39.619,0.049,2459381.274467,1.455E-4,7.7576425,1.9E-6,3.133,0.021,8.053385,8.0E-5,7390.0,0.07411910000000001,12.4562,0.9564360000000001,182.354,1023.0,413.0,210.31099999999998,1.1585,6038.0,54.0,3.96,0.11,1.41,0.11,,,,,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",2018-11-30,2021-08-24,2022-12-14 12:09:24,known brown dwarf/low-mass star discovered by WASP (EBLM J0555-57)
16,351601843,1075.01,1,"FSOP,CP, Short-P, pVshape",13,0.604763,1.06,0.1,0.18,0.65,11.1186,7.53,1059,351601843,1075.01,,1,5,5,1,4,4,4,10.6,70.6,3.42,8,1,3,PC,CP,11.1186,0.006999999999999999,,1,spoc,UNKNOWN,20:39:53.09,-65:26:58.92,-99.73700000000001,0.023,-59.95,0.039,2458654.250006,7.482197E-4,0.604742679520557,7.131455E-6,0.988220982032038,0.27624184,0.991122,0.081954,912.440697846078,75.47995999999999,1.87644543121028,0.9520114,528.02,1222.6,13.116491,61.4592,0.09435,4046.0,170.0,4.60963,0.23067800000000002,0.653189,0.06464500000000001,,,0.571742,0.0203056,"13,27",2019-08-16,2021-07-06,2022-12-14 12:09:24,Possible stellar variability
