,Unnamed: 0,TIC ID,ExoFOP-TESS,Sectors,Epoch [BJD],Period [Days],Duration [Hours],Depth [ppm],Depth [%],Rtranister [RJup],Rstar [RSun],Tmag,Delta Tmag,Paper disp (LC),Paper comm
26,26,9102327,https://exofop.ipac.caltech.edu/tess/target.php?id=9102327,2,1354.5430000000633,3.2615,0.09291666666666666,1652.0,0.17,0.45,1.13,11.3018,6.95,0,"CO,NT"
33,33,9837861,https://exofop.ipac.caltech.edu/tess/target.php?id=9837861,"18,19",1817.938000000082,0.65725,0.08333333333333333,310.0,0.03,0.4,2.68,9.9021,8.77,0,NS
57,57,15565627,https://exofop.ipac.caltech.edu/tess/target.php?id=15565627,"14,15",1684.0609999997541,3.8050900000000003,0.13958333333333334,1280.0,0.13,0.76,2.35,10.3332,7.23,0,NS
58,58,15692883,https://exofop.ipac.caltech.edu/tess/target.php?id=15692883,17,1764.8560000001453,5.14124,0.22541666666666668,3710.0,0.37,1.61,2.9,9.7116,6.08,1,WASP-187 b
60,60,16102323,https://exofop.ipac.caltech.edu/tess/target.php?id=16102323,14,1686.7599999997765,3.2080599999999997,0.09083333333333334,8629.0,0.86,0.0,0.0,9.329701,5.16,0,"FFI bad, artifacts, CO"
89,92,25334160,https://exofop.ipac.caltech.edu/tess/target.php?id=25334160,6,1471.2000000001863,2.5687599999999997,0.11541666666666667,361.0,0.04,1.57,8.43,10.1775,8.61,0,NS
92,95,26433869,https://exofop.ipac.caltech.edu/tess/target.php?id=26433869,18,1791.902999999933,1.03578,0.059166666666666666,530.0,0.05,1.7,7.83,8.4107,8.19,0,"Vshape,FSCP,pCO"
98,101,27677846,https://exofop.ipac.caltech.edu/tess/target.php?id=27677846,"18,19",1821.4490000000224,5.6258300000000006,0.1425,1360.0,0.14,0.36,0.79,9.5668,7.17,0,"Vshape, pCO"
136,140,33595516,https://exofop.ipac.caltech.edu/tess/target.php?id=33595516,3,1384.0200000000186,0.76566,0.06041666666666667,1410.0,0.14,0.32,0.92,11.5485,7.13,1,TOI-849 b
141,145,33911302,https://exofop.ipac.caltech.edu/tess/target.php?id=33911302,2,1355.751000000164,1.8138299999999998,0.046250000000000006,13170.0,1.32,1.03,0.94,13.3302,4.70,1,"LCMOD, Vshape, FSCP"
156,160,37718056,https://exofop.ipac.caltech.edu/tess/target.php?id=37718056,3,1384.094000000041,3.65688,0.1475,7040.0,0.7,1.14,1.53,11.7083,5.38,1,WASP-158 b
172,177,41330864,https://exofop.ipac.caltech.edu/tess/target.php?id=41330864,14,1684.845000000205,2.136,0.0725,10664.0,1.07,1.58,1.55,10.380999999999998,4.93,1,LCMOD
173,178,41865539,https://exofop.ipac.caltech.edu/tess/target.php?id=41865539,2,1354.8659999999218,1.26092,0.11333333333333334,4826.0,0.48,0.76,1.11,12.3571,5.79,0,NS
190,195,47423120,https://exofop.ipac.caltech.edu/tess/target.php?id=47423120,2,1356.8300000000745,11.6235,0.11583333333333333,44709.0,4.47,1.85,0.89,11.014000000000001,3.37,0,TD
203,208,50120414,https://exofop.ipac.caltech.edu/tess/target.php?id=50120414,18,1793.4849999998696,3.5804,0.15,920.0,0.09,1.63,5.96,8.951,7.59,1,
223,228,53617134,https://exofop.ipac.caltech.edu/tess/target.php?id=53617134,25,1794.6830000001937,18.8238,0.20041666666666666,2360.0,0.24,0.86,1.95,9.46221,6.57,1,single event
224,229,53709089,https://exofop.ipac.caltech.edu/tess/target.php?id=53709089,24,1793.5049999998882,8.512260000000001,0.12791666666666665,620.0,0.06,0.53,2.35,9.1196,8.02,0,"NT,LCMOD"
227,232,53875855,https://exofop.ipac.caltech.edu/tess/target.php?id=53875855,17,1769.1609999998473,4.4932099999999995,0.125,2680.0,0.27,0.56,1.23,10.3996,6.43,1,
