,Unnamed: 0,TIC ID,ExoFOP-TESS,Sectors,Epoch [BJD],Period [Days],Duration [Hours],Depth [ppm],Depth [%],Rtranister [RJup],Rstar [RSun],Tmag,Delta Tmag,Paper disp (LC),Paper comm
0,0,1003831,https://exofop.ipac.caltech.edu/tess/target.php?id=1003831,8,1518.2030000002123,1.6511419999999999,0.03166666666666667,3007.0,0.3,0.49,0.98,10.6701,6.30,1,TOI 564 b
1,1,1103432,https://exofop.ipac.caltech.edu/tess/target.php?id=1103432,8,1519.8700000001118,3.7278910000000005,0.16125,17864.0,1.79,1.66,1.34,12.8283,4.37,0,"pTD, pVshape, FSCP, pSS"
3,3,1133072,https://exofop.ipac.caltech.edu/tess/target.php?id=1133072,8,1517.5319999996573,0.846542,0.10041666666666667,2525.0,0.25,0.15,0.33,12.625,6.49,0,"LowSNR, UC, FSOP, short-P, pSS"
6,6,2758565,https://exofop.ipac.caltech.edu/tess/target.php?id=2758565,2,1356.030999999959,3.7819199999999995,0.085,15390.0,1.54,2.35,1.17,12.3611,4.53,0,"pSS,TD,sync"
7,7,4616072,https://exofop.ipac.caltech.edu/tess/target.php?id=4616072,6,1469.061999999918,4.18599,0.11875000000000001,12942.0,1.29,1.7,1.56,12.8893,4.72,1,HATS-45 b
8,8,4646810,https://exofop.ipac.caltech.edu/tess/target.php?id=4646810,4,1416.3459999999031,14.490034,0.06625,905.0,0.09,0.23,0.78,8.8723,7.61,1,
9,9,4897275,https://exofop.ipac.caltech.edu/tess/target.php?id=4897275,21,1872.341000000015,16.710042,0.225,615.0,0.06,0.24,1.09,7.6474,8.03,1,HPMS
10,10,5109298,https://exofop.ipac.caltech.edu/tess/target.php?id=5109298,7,1491.7969999997877,1.6221,0.10125,2310.0,0.23,0.94,2.22,10.6698,6.59,0,"Vshape, CO"
11,11,5772442,https://exofop.ipac.caltech.edu/tess/target.php?id=5772442,7,1492.5019999998622,1.10578,0.07791666666666668,673.0,0.07,0.67,2.62,10.350999999999999,7.93,0,NS
12,12,5868998,https://exofop.ipac.caltech.edu/tess/target.php?id=5868998,10,1569.933999999892,0.63554,0.0525,51165.0,5.12,1.28,0.44,13.9372,3.23,0,"FSCP, TD, Vshape"
13,13,6663331,https://exofop.ipac.caltech.edu/tess/target.php?id=6663331,13,1656.6329999999143,3.1803619999999997,0.08791666666666666,21192.0,2.12,1.2,0.92,13.2887,4.18,1,HATS-28 b
